iter	MultiClass
115	0.8789487272
116	0.8785813477
117	0.8783068745
118	0.8779612435
119	0.8775324924
120	0.8771524279
121	0.8768677488
122	0.8763884432
123	0.8759580024
124	0.8754142136
125	0.8747702238
126	0.8742660357
127	0.873671892
128	0.8733944732
129	0.8730277754
130	0.8723551182
131	0.8721350316
132	0.8718575935
133	0.8716267989
134	0.8713311889
135	0.8709465031
136	0.8707721367
137	0.870317777
138	0.8699052015
139	0.8695761254
140	0.8693162065
141	0.8689070807
142	0.8685511833
143	0.867842609
144	0.8672273177
145	0.8668588868
146	0.8667125811
147	0.866559089
148	0.8660749376
149	0.8657828243
150	0.8654354406
151	0.8652059975
152	0.8649175808
153	0.8646372167
154	0.8643046285
155	0.8641486755
156	0.8638005188
157	0.8633239116
158	0.8631038898
159	0.8628817554
160	0.8626304698
161	0.8623206807
162	0.8621097697
163	0.8618249021
164	0.8616363428
165	0.8614520941
166	0.8612449883
167	0.8608036424
168	0.8605463256
169	0.8602438806
170	0.8599135257
171	0.8596768322
172	0.8595056516
173	0.8592864644
174	0.8590405007
175	0.8588285925
176	0.8585947005
177	0.8584304252
178	0.8582473271
179	0.8581079674
180	0.8577718937
181	0.8575835159
182	0.857237872
183	0.8567851313
184	0.8565555745
185	0.8562490421
186	0.8560539794
187	0.8557141174
188	0.8555476432
189	0.8551716103
190	0.8548238938
191	0.8546473256
192	0.8545229594
193	0.8542777533
194	0.8540221618
195	0.853853009
196	0.8537224962
197	0.8535145845
198	0.8533101509
199	0.8530555012
200	0.8527846046
201	0.8525565432
202	0.8524804653
203	0.8523681036
204	0.8522399437
205	0.8519434172
206	0.8517409573
207	0.8516198843
208	0.8514661205
209	0.8512795787
210	0.8509479555
211	0.8506733693
212	0.8504939312
213	0.8502895911
214	0.8501400314
215	0.8499959046
216	0.8497832922
217	0.8496196635
218	0.849417346
219	0.8492591685
220	0.84887425
221	0.8484875314
222	0.8481398838
223	0.8478763754
224	0.8477511328
225	0.8476062454
226	0.8474039771
227	0.8471794562
228	0.8470572253
229	0.8467231948
230	0.8464767201
231	0.8461746435
232	0.8460655974
233	0.8458336329
234	0.8457130501
235	0.8456203317
236	0.8452848872
237	0.8450424889
238	0.8447630555
239	0.8445093891
240	0.8443192552
241	0.8440454571
242	0.8438181609
243	0.8437098184
244	0.8434569957
245	0.8433321085
246	0.8432069986
247	0.8431089469
248	0.842870839
249	0.8427487407
250	0.8425697622
251	0.8423496078
252	0.8420548932
253	0.8418949917
254	0.8417784081
255	0.8415539543
256	0.8414762338
257	0.8413666465
258	0.8412819538
259	0.8411330564
260	0.8410260241
261	0.8408419054
262	0.8407039782
263	0.8405593183
264	0.8403542052
265	0.8402337558
266	0.8401319183
267	0.8400224806
268	0.8398869791
269	0.8397634564
270	0.8395877691
271	0.8395193816
272	0.8393276789
273	0.8392664272
274	0.8390640409
275	0.8388941286
276	0.8388072416
277	0.8386771471
278	0.838569297
279	0.8384990481
280	0.8382606613
281	0.8381137737
282	0.8379656049
283	0.8378221723
284	0.8377292488
285	0.8376283721
286	0.8374181158
287	0.8372596798
288	0.8371226057
289	0.8369398111
290	0.8368232472
291	0.8367300886
292	0.8365835617
293	0.8364192008
294	0.8363011909
295	0.8361357177
296	0.8360922376
297	0.8360301685
298	0.8357617751
299	0.8356349723
300	0.8354132783
301	0.8353111628
302	0.8351619016
303	0.8350353558
304	0.8349181239
305	0.8346891243
306	0.8346348574
307	0.834421517
308	0.8342472288
309	0.8341440525
310	0.8340087518
311	0.8337936627
312	0.8336339869
313	0.8335916723
314	0.8333893657
315	0.8333057401
316	0.8330870465
317	0.8328457834
318	0.8327381169
319	0.8326178709
320	0.8323332862
321	0.8321792712
322	0.8320535722
323	0.8319446058
324	0.8318730552
325	0.831626037
326	0.8315213063
327	0.8313215407
328	0.8311976927
329	0.8311256385
330	0.8310554326
331	0.8309694817
332	0.8309011643
333	0.8308137771
334	0.8307060818
335	0.8305308295
336	0.8303377884
337	0.8301013378
338	0.8300083066
339	0.8298761139
340	0.8297486206
341	0.8296445342
342	0.8295501093
343	0.8294349396
344	0.8293438886
345	0.8292453214
346	0.8291005869
347	0.8290406362
348	0.828955932
349	0.8288349917
350	0.8286155479
351	0.8284808257
352	0.8283700032
353	0.828244999
354	0.8281807439
355	0.8280508901
356	0.8279449754
357	0.8276645947
358	0.8274912225
359	0.8274136375
360	0.8273058745
361	0.8272261912
362	0.8271541
363	0.8270011971
364	0.8269474488
365	0.8268770104
366	0.8267855803
367	0.8266828572
368	0.8265952074
369	0.8265374018
370	0.8264560464
371	0.8263976453
372	0.8262387987
373	0.8261646181
374	0.8261058312
375	0.8259569592
376	0.8258140183
377	0.825741323
378	0.8256290476
379	0.8255559366
380	0.8254885531
381	0.8253352779
382	0.8252090623
383	0.8251263004
384	0.8250129676
385	0.8249531599
386	0.8248337144
387	0.8247500394
388	0.8246998238
389	0.8246165195
390	0.8245020802
391	0.8243358464
392	0.8242497085
393	0.8241858741
394	0.8240622708
395	0.8239111172
396	0.8238281204
397	0.8237153471
398	0.8235699913
399	0.8234636483
400	0.82329274
401	0.8232249907
402	0.8231158153
403	0.8230124014
404	0.8229231324
405	0.8228110297
406	0.8226951134
407	0.8225650866
408	0.8225007213
409	0.8223043879
410	0.8222349782
411	0.8221607893
412	0.8220360891
413	0.8218070209
414	0.8217348556
415	0.8215911182
416	0.8214649153
417	0.821386048
418	0.8212866488
419	0.8211652481
420	0.8210764329
421	0.8209126836
422	0.8208256559
423	0.8207655939
424	0.8206354857
425	0.8205119115
426	0.8204093213
427	0.820358892
428	0.8202973658
429	0.820221805
430	0.8201314201
431	0.8200481109
432	0.8199711689
433	0.8198895053
434	0.8197725246
435	0.8196804062
436	0.8195354508
437	0.8194519671
438	0.8193509993
439	0.8192777764
440	0.8191832527
441	0.8190179005
442	0.818914559
443	0.818821029
444	0.8187557534
445	0.8186691819
446	0.8186224056
447	0.8184477356
448	0.8183421681
449	0.8181723629
450	0.8181131968
451	0.8180505475
452	0.817979001
453	0.8179006928
454	0.8178337681
455	0.8177668706
456	0.8175898367
457	0.8174902689
458	0.8173979004
459	0.8173457068
460	0.8172819531
461	0.8172209195
462	0.8171304055
463	0.8170825466
464	0.8169866284
465	0.8168425518
466	0.8167601563
467	0.8166683274
468	0.8165513562
469	0.8164766154
470	0.8163449896
471	0.8162718265
472	0.8161741313
473	0.8160578078
474	0.816003499
475	0.8158542239
476	0.8156880084
477	0.8155918135
478	0.8155151877
479	0.8154376666
480	0.8153751808
481	0.8152953438
482	0.8152454606
483	0.8151293015
484	0.8150460986
485	0.8149327765
486	0.8148322045
487	0.8147905338
488	0.8145940289
489	0.8144707166
490	0.8144280111
491	0.8143081421
492	0.8141592401
493	0.8141011512
494	0.8139755654
495	0.8137752505
496	0.8136777805
497	0.8136282337
498	0.8135015836
499	0.8134408046
500	0.8133405101
501	0.8132603636
502	0.8131363285
503	0.8130792939
504	0.8130021523
505	0.8127486986
506	0.8125582464
507	0.8124590545
508	0.8123919354
509	0.8123138214
510	0.812219341
511	0.812103394
512	0.8120272284
513	0.8119415719
514	0.8118692498
515	0.8118129456
516	0.8116735527
517	0.8115588095
518	0.8114818129
519	0.81142768
520	0.8113145493
521	0.8112352946
522	0.8111293683
523	0.81101592
524	0.8109704305
525	0.8109077951
526	0.8107875949
527	0.8106870597
528	0.8106232099
529	0.8105010827
530	0.8104508052
531	0.810403942
532	0.8103193884
533	0.8102260748
534	0.8101761469
535	0.8101256439
536	0.8100453266
537	0.8100065941
538	0.80995648
539	0.8098963003
540	0.8098334426
541	0.8097535798
542	0.8097175659
543	0.8096817907
544	0.809589461
545	0.8094954732
546	0.8094199953
547	0.809187845
548	0.8089926644
549	0.8089175676
550	0.8088620681
551	0.808792482
552	0.8087100107
553	0.8086349552
554	0.8085614926
555	0.8084677918
556	0.8084089597
557	0.8083507572
558	0.8082884989
559	0.8082031331
560	0.8079945542
561	0.8078903411
562	0.8078130627
563	0.8077593679
564	0.8076252659
565	0.8075663878
566	0.807488451
567	0.8074199739
568	0.8073524135
569	0.8072745378
570	0.8071876643
571	0.8071032628
572	0.8070178044
573	0.8069218986
574	0.8068327065
575	0.8067739605
576	0.8067032973
577	0.8066362045
578	0.8065243118
579	0.8064399031
580	0.8063893085
581	0.8062551944
582	0.8062148389
583	0.806139422
584	0.8060435485
585	0.8059548376
586	0.8058910199
587	0.8058605972
588	0.8058161155
589	0.8057256696
590	0.80562427
591	0.8055394728
592	0.8054717236
593	0.8053450061
594	0.8052791991
595	0.8051785631
596	0.8050948402
597	0.8050179006
598	0.8049265465
599	0.8047878769
600	0.8047173001
601	0.8046242538
602	0.804515406
603	0.8044691819
604	0.8044204924
605	0.8043539971
606	0.8042553741
607	0.8041797446
608	0.8040731546
609	0.8040316097
610	0.8039883344
611	0.8039449027
612	0.8038575187
613	0.8037606323
614	0.8036802952
615	0.8036056702
616	0.8035193021
617	0.8034319975
618	0.8033833943
619	0.8033244652
620	0.8032824766
621	0.8032062294
622	0.8031578142
623	0.8030939885
624	0.8030306037
625	0.8029729297
626	0.8029185667
627	0.802841271
628	0.8027844421
629	0.8027475317
630	0.8026733617
631	0.8025546401
632	0.8024878155
633	0.802343545
634	0.8022568515
635	0.8021712401
636	0.8020732748
637	0.8019621387
638	0.8019137721
639	0.8018616116
640	0.8017837185
641	0.8017105089
642	0.801644023
643	0.8015440917
644	0.8014548575
645	0.8013890569
646	0.801247522
647	0.8012041454
648	0.8011160242
649	0.8010638589
650	0.8009913346
651	0.8009287583
652	0.8008958608
653	0.8007928987
654	0.8007177924
655	0.8006753641
656	0.8005445746
657	0.8004039678
658	0.8003245554
659	0.8002596846
660	0.8002055325
661	0.8000995481
662	0.8000438846
663	0.7999947547
664	0.7999309751
665	0.7998852604
666	0.7998183475
667	0.7997004237
668	0.7996450809
669	0.7995869949
670	0.799537614
671	0.7994862694
672	0.799412704
673	0.799354523
674	0.7992728493
675	0.7991661158
676	0.7990610095
677	0.7989560077
678	0.7988791721
679	0.7988203059
680	0.7987635617
681	0.7987028083
682	0.7986605486
683	0.7986055178
684	0.7985526786
685	0.7984750117
686	0.7984098637
687	0.7983765041
688	0.7982638149
689	0.7981589758
690	0.7981132855
691	0.7980667941
692	0.7980127442
693	0.7979443398
694	0.7978674851
695	0.797782866
696	0.7976971916
697	0.7976655026
698	0.7976322852
699	0.7975692278
700	0.7975242976
701	0.7974686062
702	0.7974079818
703	0.7973088939
704	0.7972454055
705	0.7970819228
706	0.7970217487
707	0.7969626067
708	0.7968921829
709	0.7968469758
710	0.7967638417
711	0.7967128574
712	0.7966668642
713	0.7965843553
714	0.7965472322
715	0.7964531952
716	0.7963988827
717	0.7963447962
718	0.7963170667
719	0.7962614904
720	0.7962111331
721	0.7961621006
722	0.7960856711
723	0.7960365495
724	0.7960026556
725	0.7959453438
726	0.7958761556
727	0.795811064
728	0.795757148
729	0.7957069445
730	0.7956012673
731	0.7955454718
732	0.7954804012
733	0.7954272258
734	0.7953817444
735	0.7952686587
736	0.7952177611
737	0.7951489924
738	0.795044071
739	0.7949803919
740	0.7949453389
741	0.7948800426
742	0.7947977182
743	0.7947218269
744	0.7946428861
745	0.7945970398
746	0.7945380209
747	0.7944692276
748	0.7944016592
749	0.7943301576
750	0.7942655465
751	0.7941601994
752	0.7940949135
753	0.7940477131
754	0.7939955137
755	0.793929146
756	0.7938097967
757	0.7937529375
758	0.7936841704
759	0.7936375857
760	0.7935903253
761	0.7935293354
762	0.7934532774
763	0.7933999208
764	0.7933380788
765	0.7932676049
766	0.7932147811
767	0.7931600866
768	0.7930859064
769	0.7930217199
770	0.7929261032
771	0.7928257252
772	0.7927675356
773	0.792706564
774	0.7926097709
775	0.7925456709
776	0.7924649923
777	0.7924310619
778	0.7923824006
779	0.7923194807
780	0.7922740061
781	0.7921945858
782	0.7921387652
783	0.7920652907
784	0.7920262542
785	0.7919455183
786	0.7918728422
787	0.7917814094
788	0.7917117321
789	0.7916751117
790	0.7916139366
791	0.7915609361
792	0.7914825579
793	0.791414792
794	0.7912598825
795	0.7912106895
796	0.7911296548
797	0.7910419806
798	0.790970166
799	0.7909349571
800	0.7908643073
801	0.7908174221
802	0.7907561816
803	0.79066442
804	0.7905916942
805	0.7905370832
806	0.790471492
807	0.7904268555
808	0.7903798473
809	0.7903158209
810	0.7902772498
811	0.7902195549
812	0.7900965916
813	0.7900420246
814	0.7900225195
815	0.789956154
816	0.7899040259
817	0.7898298109
818	0.7897660819
819	0.7897129283
820	0.7896420695
821	0.7895282082
822	0.7894578084
823	0.7894009492
824	0.7893373234
825	0.7892821784
826	0.7891857545
827	0.7891402577
828	0.7890620213
829	0.7889952611
830	0.7889527599
831	0.7888902638
832	0.7888074323
833	0.7887586857
834	0.7886989613
835	0.7886341574
836	0.7885803147
837	0.7885510264
838	0.7885017884
839	0.7884411635
840	0.7883617172
841	0.7882941445
842	0.7882542323
843	0.7881292401
844	0.7880558978
845	0.7879867809
846	0.7879274117
847	0.7878727404
848	0.7878182736
849	0.7877504445
850	0.7876664715
851	0.7875912683
852	0.7875440782
853	0.7874483465
854	0.7873985301
855	0.7873343085
856	0.7872557114
857	0.7872059517
858	0.787162435
859	0.7870575061
860	0.7869425683
861	0.7868743031
862	0.7868246846
863	0.7867690566
864	0.7866805936
865	0.7866017916
866	0.7865516327
867	0.7864914023
868	0.7864039278
869	0.7863600278
870	0.7863107446
871	0.786253653
872	0.7861681624
873	0.7861233696
874	0.7860641878
875	0.7859929695
876	0.7859448147
877	0.7858667752
878	0.7857869227
879	0.7857382907
880	0.7856940643
881	0.7856495449
882	0.7855639121
883	0.7854997298
884	0.785392301
885	0.7853374404
886	0.7852464989
887	0.7851655162
888	0.7851026291
889	0.7850493228
890	0.7849961194
891	0.7849494575
892	0.7848884633
893	0.7848473257
894	0.7848103252
895	0.7847505286
896	0.7846824852
897	0.7846206513
898	0.7845678219
899	0.784505471
900	0.7844445972
901	0.7843953532
902	0.7843482737
903	0.7843013885
904	0.7841814571
905	0.7841320724
906	0.7840558474
907	0.7840093129
908	0.7839766238
909	0.7839225632
910	0.7837848391
911	0.7837612893
912	0.7837048639
913	0.783643631
914	0.7835953212
915	0.7835330096
916	0.7834557375
917	0.7834079524
918	0.7833649162
919	0.7832915896
920	0.7832079917
921	0.7831447982
922	0.7830808863
923	0.7830243269
924	0.782944823
925	0.7828781557
926	0.7828237785
927	0.7827627203
928	0.7826938175
929	0.7826536128
930	0.7825914673
931	0.7825139198
932	0.7824647447
933	0.7823986463
934	0.7823414893
935	0.7822991981
936	0.7822669072
937	0.7822034292
938	0.7821472299
939	0.7821060155
940	0.7820612662
941	0.7820324125
942	0.7819874288
943	0.7819517711
944	0.781903728
945	0.7818450404
946	0.7818118518
947	0.7817766456
948	0.7817058594
949	0.7816585143
950	0.7815990232
951	0.7815344857
952	0.7814605443
953	0.7814290276
954	0.7813785812
955	0.7812932748
956	0.7812406784
957	0.7811997114
958	0.7811380286
959	0.7810151032
960	0.7809848486
961	0.7808856245
962	0.7808410689
963	0.7807776371
964	0.7806959839
965	0.7806607902
966	0.7806189206
967	0.7805426252
968	0.7804876202
969	0.7804140311
970	0.7803875557
971	0.7803347439
972	0.7802889138
973	0.7802419369
974	0.7801819494
975	0.7801226999
976	0.7800737124
977	0.7800186581
978	0.7799770286
979	0.7799162169
980	0.7798513288
981	0.7798012663
982	0.7797194694
983	0.779654205
984	0.7795890413
985	0.779485602
986	0.7793828403
987	0.779351156
988	0.7793015919
989	0.7792423171
990	0.7792012385
991	0.7791420788
992	0.7790705656
993	0.7790329577
994	0.7789676673
995	0.7789336536
996	0.7788771393
997	0.7788075792
998	0.7787714742
999	0.7787382987
